"","Date","Solar_radiation","Method","Comments","Site"
"93",2012-04-29,237.604166666667,"VantagePro","","SEGC"
"94",2012-04-30,235.166666666667,"VantagePro","","SEGC"
"95",2012-05-01,224.520833333333,"VantagePro","","SEGC"
"96",2012-05-02,234.395833333333,"VantagePro","","SEGC"
"97",2012-05-03,73.4583333333333,"VantagePro","","SEGC"
"98",2012-05-04,237.354166666667,"VantagePro","","SEGC"
"99",2012-05-05,239.041666666667,"VantagePro","","SEGC"
"100",2012-05-06,175.895833333333,"VantagePro","","SEGC"
"101",2012-05-07,110.083333333333,"VantagePro","","SEGC"
"102",2012-05-08,212.333333333333,"VantagePro","","SEGC"
"103",2012-05-09,121.604166666667,"VantagePro","","SEGC"
"104",2012-05-10,234.895833333333,"VantagePro","","SEGC"
"105",2012-05-11,132.666666666667,"VantagePro","","SEGC"
"106",2012-05-12,222.979166666667,"VantagePro","","SEGC"
"107",2012-05-13,194.791666666667,"VantagePro","","SEGC"
"108",2012-05-14,183.0625,"VantagePro","","SEGC"
"109",2012-05-15,207.5625,"VantagePro","","SEGC"
"110",2012-05-16,94.5208333333333,"VantagePro","","SEGC"
"111",2012-05-17,186.125,"VantagePro","","SEGC"
"112",2012-05-18,213.229166666667,"VantagePro","","SEGC"
"113",2012-05-19,108.625,"VantagePro","","SEGC"
"114",2012-05-20,187.895833333333,"VantagePro","","SEGC"
"115",2012-05-21,191.395833333333,"VantagePro","","SEGC"
"116",2012-05-22,109.083333333333,"VantagePro","","SEGC"
"117",2012-05-23,169.666666666667,"VantagePro","","SEGC"
"118",2012-05-24,108.916666666667,"VantagePro","","SEGC"
"119",2012-05-25,114.104166666667,"VantagePro","","SEGC"
"120",2012-05-26,167.75,"VantagePro","","SEGC"
"121",2012-05-27,154.604166666667,"VantagePro","","SEGC"
"122",2012-05-28,163.0625,"VantagePro","","SEGC"
"123",2012-05-29,210.625,"VantagePro","","SEGC"
"124",2012-05-30,209.895833333333,"VantagePro","","SEGC"
"125",2012-05-31,128.833333333333,"VantagePro","","SEGC"
"126",2012-06-01,160.729166666667,"VantagePro","","SEGC"
"127",2012-06-02,170.291666666667,"VantagePro","","SEGC"
"128",2012-06-03,202.875,"VantagePro","","SEGC"
"129",2012-06-04,51.3958333333333,"VantagePro","","SEGC"
"130",2012-06-05,99.7916666666667,"VantagePro","","SEGC"
"131",2012-06-06,149.479166666667,"VantagePro","","SEGC"
"132",2012-06-07,140.125,"VantagePro","","SEGC"
"133",2012-06-08,259.166666666667,"VantagePro","","SEGC"
"134",2012-06-09,207.895833333333,"VantagePro","","SEGC"
"135",2012-06-10,188,"VantagePro","","SEGC"
"136",2012-06-11,158.229166666667,"VantagePro","","SEGC"
"137",2012-06-12,155.5,"VantagePro","","SEGC"
"138",2012-06-13,119.104166666667,"VantagePro","","SEGC"
"139",2012-06-14,91.8333333333333,"VantagePro","","SEGC"
"140",2012-06-15,71,"VantagePro","","SEGC"
"141",2012-06-16,114.270833333333,"VantagePro","","SEGC"
"142",2012-06-17,151.333333333333,"VantagePro","","SEGC"
"143",2012-06-18,118.666666666667,"VantagePro","","SEGC"
"144",2012-06-19,69.9375,"VantagePro","","SEGC"
"145",2012-06-20,75.9791666666667,"VantagePro","","SEGC"
"146",2012-06-21,99.1666666666667,"VantagePro","","SEGC"
"147",2012-06-22,140.583333333333,"VantagePro","","SEGC"
"148",2012-06-23,166.916666666667,"VantagePro","","SEGC"
"149",2012-06-24,117.583333333333,"VantagePro","","SEGC"
"150",2012-06-25,166.791666666667,"VantagePro","","SEGC"
"151",2012-06-26,147.125,"VantagePro","","SEGC"
"152",2012-06-27,87.1875,"VantagePro","","SEGC"
"153",2012-06-28,102.708333333333,"VantagePro","","SEGC"
"154",2012-06-29,111.520833333333,"VantagePro","","SEGC"
"155",2012-06-30,130.75,"VantagePro","","SEGC"
"156",2012-07-01,138.3125,"VantagePro","","SEGC"
"157",2012-07-02,125.770833333333,"VantagePro","","SEGC"
"158",2012-07-03,131.604166666667,"VantagePro","","SEGC"
"159",2012-07-04,142.916666666667,"VantagePro","","SEGC"
"160",2012-07-05,149.125,"VantagePro","","SEGC"
"161",2012-07-06,165.416666666667,"VantagePro","","SEGC"
"162",2012-07-07,108.625,"VantagePro","","SEGC"
"163",2012-07-08,132.4375,"VantagePro","","SEGC"
"164",2012-07-09,207.895833333333,"VantagePro","","SEGC"
"165",2012-07-10,122.5625,"VantagePro","","SEGC"
"166",2012-07-11,128.854166666667,"VantagePro","","SEGC"
"167",2012-07-12,106.541666666667,"VantagePro","","SEGC"
"168",2012-07-13,92.1458333333333,"VantagePro","","SEGC"
"169",2012-07-14,147.375,"VantagePro","","SEGC"
"170",2012-07-15,107.354166666667,"VantagePro","","SEGC"
"171",2012-07-16,82.3541666666667,"VantagePro","","SEGC"
"172",2012-07-17,71.3541666666667,"VantagePro","","SEGC"
"173",2012-07-18,80.4791666666667,"VantagePro","","SEGC"
"174",2012-07-19,149.375,"VantagePro","","SEGC"
"175",2012-07-20,101.875,"VantagePro","","SEGC"
"176",2012-07-21,101.458333333333,"VantagePro","","SEGC"
"177",2012-07-22,81.75,"VantagePro","","SEGC"
"178",2012-07-23,158.0625,"VantagePro","","SEGC"
"179",2012-07-24,184,"VantagePro","","SEGC"
"180",2012-07-25,169.020833333333,"VantagePro","","SEGC"
"181",2012-07-26,229.791666666667,"VantagePro","","SEGC"
"182",2012-07-27,192.4375,"VantagePro","","SEGC"
"183",2012-07-28,161.75,"VantagePro","","SEGC"
"184",2012-07-29,176.145833333333,"VantagePro","","SEGC"
"185",2012-07-30,114.583333333333,"VantagePro","","SEGC"
"186",2012-07-31,125.875,"VantagePro","","SEGC"
"187",2012-08-01,116.291666666667,"VantagePro","","SEGC"
"188",2012-08-02,177.208333333333,"VantagePro","","SEGC"
"189",2012-08-03,107.895833333333,"VantagePro","","SEGC"
"190",2012-08-04,68.625,"VantagePro","","SEGC"
"191",2012-08-05,144,"VantagePro","","SEGC"
"192",2012-08-06,78.8125,"VantagePro","","SEGC"
"193",2012-08-07,117.791666666667,"VantagePro","","SEGC"
"194",2012-08-08,118.270833333333,"VantagePro","","SEGC"
"195",2012-08-09,153.479166666667,"VantagePro","","SEGC"
"196",2012-08-10,151.75,"VantagePro","","SEGC"
"197",2012-08-11,167.375,"VantagePro","","SEGC"
"198",2012-08-12,120.020833333333,"VantagePro","","SEGC"
"199",2012-08-13,98.8541666666667,"VantagePro","","SEGC"
"200",2012-08-14,132.875,"VantagePro","","SEGC"
"201",2012-08-15,153.104166666667,"VantagePro","","SEGC"
"202",2012-08-16,126.333333333333,"VantagePro","","SEGC"
"203",2012-08-17,190.979166666667,"VantagePro","","SEGC"
"204",2012-08-18,143.6875,"VantagePro","","SEGC"
"205",2012-08-19,93.7291666666667,"VantagePro","","SEGC"
"206",2012-08-20,145.395833333333,"VantagePro","","SEGC"
"207",2012-08-21,162.8125,"VantagePro","","SEGC"
"208",2012-08-22,132.4375,"VantagePro","","SEGC"
"209",2012-08-23,76.25,"VantagePro","","SEGC"
"210",2012-08-24,133.708333333333,"VantagePro","","SEGC"
"211",2012-08-25,154.520833333333,"VantagePro","","SEGC"
"212",2012-08-26,120.375,"VantagePro","","SEGC"
"213",2012-08-27,151.791666666667,"VantagePro","","SEGC"
"214",2012-08-28,165.166666666667,"VantagePro","","SEGC"
"215",2012-08-29,133.875,"VantagePro","","SEGC"
"216",2012-08-30,131.833333333333,"VantagePro","","SEGC"
"217",2012-08-31,133.520833333333,"VantagePro","","SEGC"
"218",2012-09-01,118.5,"VantagePro","","SEGC"
"219",2012-09-02,125.1875,"VantagePro","","SEGC"
"220",2012-09-03,183.4375,"VantagePro","","SEGC"
"221",2012-09-04,138.916666666667,"VantagePro","","SEGC"
"222",2012-09-05,139.6875,"VantagePro","","SEGC"
"223",2012-09-06,100.354166666667,"VantagePro","","SEGC"
"224",2012-09-07,136.708333333333,"VantagePro","","SEGC"
"225",2012-09-08,150.104166666667,"VantagePro","","SEGC"
"226",2012-09-09,152.5,"VantagePro","","SEGC"
"227",2012-09-10,107.229166666667,"VantagePro","","SEGC"
"228",2012-09-11,168.395833333333,"VantagePro","","SEGC"
"229",2012-09-12,86.8958333333333,"VantagePro","","SEGC"
"230",2012-09-13,173.979166666667,"VantagePro","","SEGC"
"231",2012-09-14,158.708333333333,"VantagePro","","SEGC"
"232",2012-09-15,153.458333333333,"VantagePro","","SEGC"
"233",2012-09-16,97.9583333333333,"VantagePro","","SEGC"
"234",2012-09-17,119.041666666667,"VantagePro","","SEGC"
"235",2012-09-18,197.604166666667,"VantagePro","","SEGC"
"236",2012-09-19,198.229166666667,"VantagePro","","SEGC"
"237",2012-09-20,149.729166666667,"VantagePro","","SEGC"
"238",2012-09-21,216.208333333333,"VantagePro","","SEGC"
"239",2012-09-22,196.458333333333,"VantagePro","","SEGC"
"240",2012-09-23,217.333333333333,"VantagePro","","SEGC"
"241",2012-09-24,91.0833333333333,"VantagePro","","SEGC"
"242",2012-09-25,152.875,"VantagePro","","SEGC"
"243",2012-09-26,169.541666666667,"VantagePro","","SEGC"
"244",2012-09-27,233.166666666667,"VantagePro","","SEGC"
"245",2012-09-28,183.041666666667,"VantagePro","","SEGC"
"246",2012-09-29,181.145833333333,"VantagePro","","SEGC"
"247",2012-09-30,171.208333333333,"VantagePro","","SEGC"
"248",2012-10-01,184.104166666667,"VantagePro","","SEGC"
"249",2012-10-02,192.458333333333,"VantagePro","","SEGC"
"250",2012-10-03,160.791666666667,"VantagePro","","SEGC"
"251",2012-10-04,149.541666666667,"VantagePro","","SEGC"
"252",2012-10-05,138.416666666667,"VantagePro","","SEGC"
"253",2012-10-06,189.875,"VantagePro","","SEGC"
"254",2012-10-07,166.3125,"VantagePro","","SEGC"
"255",2012-10-08,190.3125,"VantagePro","","SEGC"
"256",2012-10-09,98.5833333333333,"VantagePro","","SEGC"
"257",2012-10-10,238.3125,"VantagePro","","SEGC"
"258",2012-10-11,150.729166666667,"VantagePro","","SEGC"
"259",2012-10-12,145.645833333333,"VantagePro","","SEGC"
"260",2012-10-13,176.375,"VantagePro","","SEGC"
"261",2012-10-14,226.875,"VantagePro","","SEGC"
