"","X","Date","Temperature_c","Type","Method","Site","Comments"
"5156",5271,"1993-04-18",33,"Max","MaxMin Thermometer (manual)","Saline",""
"5157",5272,"1993-04-19",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5158",5273,"1993-04-20",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5159",5274,"1993-04-21",33,"Max","MaxMin Thermometer (manual)","Saline",""
"5160",5275,"1993-04-23",33,"Max","MaxMin Thermometer (manual)","Saline",""
"5161",5276,"1993-04-25",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5162",5277,"1993-04-26",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5163",5278,"1993-04-27",33,"Max","MaxMin Thermometer (manual)","Saline",""
"5164",5279,"1993-04-28",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5165",5280,"1993-04-29",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5166",5281,"1993-04-30",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5167",5282,"1993-05-02",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5168",5283,"1993-05-05",32,"Max","MaxMin Thermometer (manual)","Saline",""
"5169",5284,"1993-05-08",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5170",5285,"1993-05-10",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5171",5286,"1993-05-12",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5172",5287,"1993-05-14",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5173",5288,"1993-05-16",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5174",5289,"1993-05-17",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5175",5290,"1993-05-18",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5176",5291,"1993-05-20",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5177",5292,"1993-05-22",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5178",5293,"1993-05-24",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5179",5294,"1993-05-26",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5180",5295,"1993-05-31",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5181",5296,"1993-06-04",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5182",5297,"1993-06-06",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5183",5298,"1993-06-08",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5184",5299,"1993-06-09",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5185",5300,"1993-06-10",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5186",5301,"1993-06-12",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5187",5302,"1993-06-15",24,"Max","MaxMin Thermometer (manual)","Saline",""
"5188",5303,"1993-06-17",23,"Max","MaxMin Thermometer (manual)","Saline",""
"5189",5304,"1993-06-19",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5190",5305,"1993-06-21",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5191",5306,"1993-06-23",24,"Max","MaxMin Thermometer (manual)","Saline",""
"5192",5307,"1993-06-25",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5193",5308,"1993-06-27",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5194",5309,"1993-06-28",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5195",5310,"1993-06-29",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5196",5311,"1993-06-30",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5197",5312,"1993-07-02",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5198",5313,"1993-07-04",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5199",5314,"1993-07-05",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5200",5315,"1993-07-06",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5201",5316,"1993-07-08",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5202",5317,"1993-07-11",24,"Max","MaxMin Thermometer (manual)","Saline",""
"5203",5318,"1993-07-13",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5204",5319,"1993-07-14",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5205",5320,"1993-07-15",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5206",5321,"1993-07-16",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5207",5322,"1993-07-18",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5208",5323,"1993-07-21",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5209",5324,"1993-07-22",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5210",5325,"1993-07-23",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5211",5326,"1993-07-25",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5212",5327,"1993-07-27",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5213",5328,"1993-07-28",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5214",5329,"1993-07-30",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5215",5330,"1993-08-01",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5216",5331,"1993-08-02",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5217",5332,"1993-08-03",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5218",5333,"1993-08-04",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5219",5334,"1993-08-05",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5220",5335,"1993-08-06",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5221",5336,"1993-08-08",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5222",5337,"1993-08-09",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5223",5338,"1993-08-10",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5224",5339,"1993-08-12",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5225",5340,"1993-08-13",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5226",5341,"1993-08-15",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5227",5342,"1993-08-17",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5228",5343,"1993-08-19",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5229",5344,"1993-08-20",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5230",5345,"1993-08-22",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5231",5346,"1993-08-24",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5232",5347,"1993-08-26",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5233",5348,"1993-08-30",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5234",5349,"1993-09-01",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5235",5350,"1993-09-02",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5236",5351,"1993-09-03",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5237",5352,"1993-09-06",32,"Max","MaxMin Thermometer (manual)","Saline",""
"5238",5353,"1993-09-09",30.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5239",5354,"1993-09-10",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5240",5355,"1993-09-12",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5241",5356,"1993-09-14",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5242",5357,"1993-09-15",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5243",5358,"1993-09-16",24.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5244",5359,"1993-09-17",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5245",5360,"1993-09-19",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5246",5361,"1993-09-22",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5247",5362,"1993-09-23",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5248",5363,"1993-09-24",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5249",5364,"1993-09-26",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5250",5365,"1993-09-29",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5251",5366,"1993-10-02",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5252",5367,"1993-10-04",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5253",5368,"1993-10-05",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5254",5369,"1993-10-07",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5255",5370,"1993-10-11",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5256",5371,"1993-10-15",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5257",5372,"1993-10-19",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5258",5373,"1993-10-26",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5259",5374,"1993-10-31",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5260",5375,"1993-11-03",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5261",5376,"1993-11-05",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5262",5377,"1993-11-07",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5263",5378,"1993-11-09",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5264",5379,"1993-11-11",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5265",5380,"1993-11-15",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5266",5381,"1993-11-19",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5267",5382,"1993-11-22",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5268",5383,"1993-11-29",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5269",5384,"1993-12-04",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5270",5385,"1993-12-12",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5271",5386,"1993-12-18",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5272",5387,"1993-12-23",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5273",5388,"1993-12-27",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5274",5389,"1994-01-03",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5275",5390,"1994-01-10",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5276",5391,"1994-01-11",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5277",5392,"1994-01-12",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5278",5394,"1994-01-14",24.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5279",5395,"1994-01-16",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5280",5396,"1994-01-17",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5281",5397,"1994-01-18",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5282",5398,"1994-01-19",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5283",5399,"1994-01-20",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5284",5400,"1994-01-21",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5285",5401,"1994-01-24",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5286",5402,"1994-01-29",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5287",5403,"1994-01-31",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5288",5404,"1994-02-02",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5289",5405,"1994-02-04",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5290",5406,"1994-02-06",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5291",5407,"1994-02-08",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5292",5408,"1994-02-10",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5293",5409,"1994-02-11",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5294",5410,"1994-02-13",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5295",5411,"1994-02-19",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5296",5412,"1994-02-26",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5297",5413,"1994-03-01",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5298",5414,"1994-03-02",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5299",5415,"1994-03-05",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5300",5416,"1994-03-11",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5301",5417,"1994-03-15",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5302",5418,"1994-03-17",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5303",5419,"1994-03-20",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5304",5420,"1994-03-21",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5305",5421,"1994-03-25",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5306",5422,"1994-03-28",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5307",5423,"1994-03-29",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5308",5424,"1994-03-30",30.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5309",5425,"1994-04-02",32,"Max","MaxMin Thermometer (manual)","Saline",""
"5310",5426,"1994-04-05",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5311",5427,"1994-04-06",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5312",5428,"1994-04-07",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5313",5429,"1994-04-08",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5314",5430,"1994-04-09",33,"Max","MaxMin Thermometer (manual)","Saline",""
"5315",5431,"1994-04-12",31.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5316",5432,"1994-04-14",32,"Max","MaxMin Thermometer (manual)","Saline",""
"5317",5433,"1994-04-15",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5318",5434,"1994-04-18",34,"Max","MaxMin Thermometer (manual)","Saline",""
"5319",5435,"1994-04-20",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5320",5436,"1994-04-22",32,"Max","MaxMin Thermometer (manual)","Saline",""
"5321",5437,"1994-04-29",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5322",5438,"1994-05-07",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5323",5439,"1994-05-09",30.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5324",5440,"1994-05-10",30.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5325",5441,"1994-05-12",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5326",5442,"1994-05-14",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5327",5443,"1994-05-16",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5328",5444,"1994-05-21",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5329",5445,"1994-05-29",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5330",5446,"1994-06-01",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5331",5447,"1994-06-02",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5332",5448,"1994-06-04",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5333",5449,"1994-06-06",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5334",5450,"1994-06-07",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5335",5451,"1994-06-08",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5336",5452,"1994-06-09",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5337",5453,"1994-06-11",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5338",5454,"1994-06-13",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5339",5455,"1994-06-14",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5340",5456,"1994-06-15",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5341",5457,"1994-06-18",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5342",5458,"1994-06-21",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5343",5459,"1994-06-22",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5344",5460,"1994-06-23",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5345",5461,"1994-06-24",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5346",5462,"1994-06-26",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5347",5463,"1994-06-27",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5348",5464,"1994-06-28",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5349",5465,"1994-06-29",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5350",5466,"1994-06-30",24,"Max","MaxMin Thermometer (manual)","Saline",""
"5351",5467,"1994-07-02",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5352",5468,"1994-07-04",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5353",5469,"1994-07-06",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5354",5470,"1994-07-07",24.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5355",5471,"1994-07-10",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5356",5472,"1994-07-13",24.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5357",5474,"1994-07-17",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5358",5475,"1994-07-19",24.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5359",5476,"1994-07-20",24.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5360",5477,"1994-07-23",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5361",5478,"1994-07-25",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5362",5479,"1994-07-26",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5363",5480,"1994-07-27",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5364",5481,"1994-07-28",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5365",5482,"1994-07-30",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5366",5484,"1994-08-02",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5367",5485,"1994-08-03",24,"Max","MaxMin Thermometer (manual)","Saline",""
"5368",5486,"1994-08-04",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5369",5487,"1994-08-05",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5370",5488,"1994-08-07",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5371",5489,"1994-08-09",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5372",5490,"1994-08-10",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5373",5491,"1994-08-11",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5374",5492,"1994-08-13",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5375",5493,"1994-08-17",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5376",5494,"1994-08-21",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5377",5495,"1994-08-22",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5378",5497,"1994-08-29",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5379",5498,"1994-08-30",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5380",5499,"1994-09-01",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5381",5500,"1994-09-04",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5382",5501,"1994-09-05",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5383",5502,"1994-09-06",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5384",5503,"1994-09-07",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5385",5504,"1994-09-10",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5386",5505,"1994-09-12",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5387",5506,"1994-09-13",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5388",5507,"1994-09-15",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5389",5508,"1994-09-16",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5390",5509,"1994-09-18",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5391",5510,"1994-09-20",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5392",5511,"1994-09-21",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5393",5512,"1994-09-24",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5394",5514,"1994-09-29",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5395",5515,"1994-09-30",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5396",5516,"1994-10-03",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5397",5517,"1994-10-06",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5398",5518,"1994-10-08",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5399",5519,"1994-10-11",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5400",5520,"1994-10-14",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5401",5521,"1994-10-17",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5402",5522,"1994-10-18",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5403",5523,"1994-10-27",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5404",5524,"1994-11-05",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5405",5525,"1994-11-07",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5406",5526,"1994-11-08",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5407",5528,"1994-11-13",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5408",5529,"1994-11-19",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5409",5530,"1994-11-21",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5410",5531,"1994-11-25",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5411",5532,"1994-11-29",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5412",5533,"1994-12-02",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5413",5534,"1994-12-05",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5414",5535,"1994-12-07",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5415",5536,"1994-12-08",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5416",5537,"1994-12-09",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5417",5538,"1994-12-12",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5418",5539,"1994-12-15",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5419",5540,"1994-12-17",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5420",5542,"1994-12-20",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5421",5543,"1994-12-21",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5422",5544,"1994-12-22",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5423",5545,"1994-12-24",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5424",5546,"1994-12-26",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5425",5547,"1994-12-27",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5426",5548,"1994-12-28",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5427",5549,"1995-01-01",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5428",5550,"1995-01-04",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5429",5551,"1995-01-05",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5430",5552,"1995-01-06",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5431",5553,"1995-01-08",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5432",5554,"1995-01-09",25,"Max","MaxMin Thermometer (manual)","Saline",""
"5433",5555,"1995-01-10",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5434",5556,"1995-01-11",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5435",5557,"1995-01-12",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5436",5558,"1995-01-13",26,"Max","MaxMin Thermometer (manual)","Saline",""
"5437",5559,"1995-01-15",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5438",5560,"1995-01-16",25.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5439",5561,"1995-01-17",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5440",5562,"1995-01-19",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5441",5563,"1995-01-20",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5442",5564,"1995-01-22",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5443",5565,"1995-01-24",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5444",5566,"1995-01-27",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5445",5567,"1995-01-31",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5446",5568,"1995-02-01",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5447",5569,"1995-02-03",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5448",5570,"1995-02-06",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5449",5571,"1995-02-10",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5450",5572,"1995-02-15",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5451",5573,"1995-02-17",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5452",5574,"1995-02-19",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5453",5575,"1995-02-20",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5454",5576,"1995-02-22",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5455",5577,"1995-02-24",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5456",5578,"1995-02-27",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5457",5579,"1995-03-02",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5458",5580,"1995-03-03",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5459",5581,"1995-03-07",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5460",5582,"1995-03-11",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5461",5583,"1995-03-13",30.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5462",5584,"1995-03-16",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5463",5585,"1995-03-17",21.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5464",5586,"1995-03-21",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5465",5587,"1995-03-26",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5466",5588,"1995-03-27",27.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5467",5589,"1995-03-30",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5468",5590,"1995-04-01",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5469",5591,"1995-04-02",30,"Max","MaxMin Thermometer (manual)","Saline",""
"5470",5592,"1995-04-03",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5471",5593,"1995-04-05",26.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5472",5594,"1995-04-08",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5473",5595,"1995-04-11",29,"Max","MaxMin Thermometer (manual)","Saline",""
"5474",5596,"1995-04-13",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5475",5597,"1995-04-14",28,"Max","MaxMin Thermometer (manual)","Saline",""
"5476",5598,"1995-04-16",32.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5477",5599,"1995-04-17",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5478",5600,"1995-04-18",31,"Max","MaxMin Thermometer (manual)","Saline",""
"5479",5601,"1995-04-19",27,"Max","MaxMin Thermometer (manual)","Saline",""
"5480",5602,"1995-04-21",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5481",5603,"1995-04-23",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5482",5604,"1995-04-24",29.5,"Max","MaxMin Thermometer (manual)","Saline",""
"5483",5605,"1995-04-26",28.5,"Max","MaxMin Thermometer (manual)","Saline",""
