"Month","DOY","Solar_Wm2","Solar_Wm2_10days","Solar_Wm2_month","Dayof2019"
1,1,182.570347222222,182.266770833334,185.549970848661,2025-01-01
1,2,165.665243055555,181.845833333333,185.549970848661,2025-01-02
1,3,148.7240625,180.452708333333,185.549970848661,2025-01-03
1,4,180.079479166667,180.379648919753,185.549970848661,2025-01-04
1,5,213.020902777778,181.579666666667,185.549970848661,2025-01-05
1,6,203.540590277778,181.271357638889,185.549970848661,2025-01-06
1,7,179.320208333333,180.459635416667,185.549970848661,2025-01-07
1,8,170.700833333333,183.63225,185.549970848661,2025-01-08
1,9,179.795173611111,183.434440972222,185.549970848661,2025-01-09
1,10,192.379826388889,181.646177083333,185.549970848661,2025-01-10
1,11,179.487256944445,175.182288194444,185.549970848661,2025-01-11
1,12,157.548020833333,176.060486111111,185.549970848661,2025-01-12
1,13,180.450208333333,174.105878472222,185.549970848661,2025-01-13
1,14,178.101388888889,178.001326388889,185.549970848661,2025-01-14
1,15,195.138263888889,181.945225694445,185.549970848661,2025-01-15
1,16,138.901701388889,182.355805555556,185.549970848661,2025-01-16
1,17,188.1021875,185.506479166667,185.549970848661,2025-01-17
1,18,151.154756944445,186.46103125,185.549970848661,2025-01-18
1,19,218.749652777778,183.99975,185.549970848661,2025-01-19
1,20,231.818819444445,184.801461805556,185.549970848661,2025-01-20
1,21,183.593055555556,193.722815972222,185.549970848661,2025-01-21
1,22,189.054756944445,193.048390533626,185.549970848661,2025-01-22
1,23,189.995729166667,196.268711714181,185.549970848661,2025-01-23
1,24,153.488576388889,195.468840186403,185.549970848661,2025-01-24
1,25,203.155381944444,191.730281158626,185.549970848661,2025-01-25
1,26,228.115243055556,193.320711714181,185.549970848661,2025-01-26
1,27,181.357933114035,193.440326297515,185.549970848661,2025-01-27
1,28,183.35796875,191.956267269737,185.549970848661,2025-01-28
1,29,210.7509375,197.623673519737,185.549970848661,2025-01-29
1,30,194.433229166667,198.611836714181,185.549970848661,2025-01-30
1,31,199.497361111111,194.950999908626,185.549970848661,2025-01-31
2,32,190.250902777778,195.844026645531,182.568440922083,2025-02-01
2,33,175.155138888889,193.867604770531,182.568440922083,2025-02-02
2,34,210.162638888889,187.155011020531,182.568440922083,2025-02-03
2,35,213.037013888889,186.095021437198,182.568440922083,2025-02-04
2,36,191.506875,185.357785326087,182.568440922083,2025-02-05
2,37,190.288200483092,177.600403381643,182.568440922083,2025-02-06
2,38,163.59375,179.641139492754,182.568440922083,2025-02-07
2,39,143.625,174.196750603865,182.568440922083,2025-02-08
2,40,183.833333333333,169.440965881643,182.568440922083,2025-02-09
2,41,192.125,167.057986714976,182.568440922083,2025-02-10
2,42,112.677083333333,163.934375,182.568440922083,2025-02-11
2,43,195.5625,167.238541666667,182.568440922083,2025-02-12
2,44,155.71875,173.998958333333,182.568440922083,2025-02-13
2,45,165.479166666667,176.565625,182.568440922083,2025-02-14
2,46,167.677083333333,180.071875,182.568440922083,2025-02-15
2,47,159.052083333333,192.580208333333,182.568440922083,2025-02-16
2,48,196.635416666667,190.839583333333,182.568440922083,2025-02-17
2,49,211.229166666667,194.442708333333,182.568440922083,2025-02-18
2,50,209.5,193.289583333333,182.568440922083,2025-02-19
2,51,227.1875,198.725,182.568440922083,2025-02-20
2,52,237.760416666667,201.128103070176,182.568440922083,2025-02-21
2,53,178.15625,190.177311403509,182.568440922083,2025-02-22
2,54,191.75,190.720901681287,182.568440922083,2025-02-23
2,55,153.947916666667,186.737568347953,182.568440922083,2025-02-24
2,56,222.03125,187.349339181287,182.568440922083,2025-02-25
2,57,183.083114035088,185.236769736842,182.568440922083,2025-02-26
2,58,87.1274999999999,187.571679459064,182.568440922083,2025-02-27
2,59,216.665069444444,190.456936403509,182.568440922083,2025-02-28
2,60,169.666666666667,200.503818347953,182.568440922083,2025-03-01
3,60,233.305208333333,197.035839181287,216.435966853984,2025-03-01
3,61,216.634722222222,203.842777777778,216.435966853984,2025-03-02
3,62,201.505347222222,215.311152777778,216.435966853984,2025-03-03
3,63,220.602569444444,212.832694444444,216.435966853984,2025-03-04
3,64,254.416736111111,215.076680555556,216.435966853984,2025-03-05
3,65,187.351458333333,214.856819444444,216.435966853984,2025-03-06
3,66,251.1525,215.723986111111,216.435966853984,2025-03-07
3,67,201.81125,221.375826388889,216.435966853984,2025-03-08
3,68,191.880486111111,224.317673611111,216.435966853984,2025-03-09
3,69,192.106527777778,222.407986111111,216.435966853984,2025-03-10
3,70,231.106597222222,220.788131944444,216.435966853984,2025-03-11
3,71,225.306388888889,215.879833333333,216.435966853984,2025-03-12
3,72,258.02375,219.114513888889,216.435966853984,2025-03-13
3,73,250.021041666667,220.5266875,216.435966853984,2025-03-14
3,74,235.319861111111,223.529381944444,216.435966853984,2025-03-15
3,75,171.152916666667,221.8969375,216.435966853984,2025-03-16
3,76,202.069513888889,217.977784722222,216.435966853984,2025-03-17
3,77,234.158055555555,213.518430555556,216.435966853984,2025-03-18
3,78,206.002222222222,208.290763888889,216.435966853984,2025-03-19
3,79,222.133472222222,206.992798611111,216.435966853984,2025-03-20
3,80,214.782152777778,210.479979166667,216.435966853984,2025-03-21
3,81,186.114861111111,203.916989766082,216.435966853984,2025-03-22
3,82,213.430208333334,205.305621710526,216.435966853984,2025-03-23
3,83,197.744375,209.098816154971,216.435966853984,2025-03-24
3,84,222.340208333333,204.016434210526,216.435966853984,2025-03-25
3,85,206.024722222222,206.269149488304,216.435966853984,2025-03-26
3,86,136.439619883041,213.89933004386,216.435966853984,2025-03-27
