DateTime,Sap_flow,missing,gap_block,large_gap,Detrended_flow,smoothed_signal,daily_mean,detrended_daily_mean,short_trend,detrended_short,long_trend,detrended_long,short_trend_dday_diff,period,phenology,season,date
2024-11-19 23:40:00,2.51205,0.0,53.0,0.0,8.166242928267632,8.61835045995036,,-1.122591497374824,9.360403571522706,-0.7420531115723463,8.992033684534537,-0.3736832245841768,-0.3452630532608509,rainy_transition_2,post-flush,ON,2024-11-19
2024-11-20 00:00:00,3.25292,0.0,53.0,0.0,8.907116983097124,8.18284762442475,9.161853288727748,-0.9790056643029974,9.347757926286189,-1.1649103018614362,8.986799257662124,-0.8039516332373733,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 00:20:00,2.52854,0.0,53.0,0.0,8.18284762442475,8.470249420484814,,-0.6916038682429342,9.336230933288828,-0.865981512804014,8.981744057167441,-0.5114946366826274,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 00:40:00,2.81584,0.0,53.0,0.0,8.470249420484814,8.470249420484814,,-0.6916038682429342,9.32571492457223,-0.855465504087416,8.976919597755511,-0.5066701772706974,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 01:00:00,3.3503,0.0,53.0,0.0,9.004840292858198,9.004840292858198,,-0.1570129958695503,9.3228181445376,-0.3179778516794016,8.972248695365153,0.0325915974930453,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 01:20:00,3.53979,0.0,53.0,0.0,9.194456494019066,9.194456494019066,,0.0326032052913181,9.320708282870076,-0.1262517888510093,8.967380443487126,0.2270760505319398,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 01:40:00,3.90243,0.0,53.0,0.0,9.55720233907765,9.194456494019066,,0.0326032052913181,9.32241625886674,-0.1279597648476738,8.962888755966778,0.2315677380522878,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 02:00:00,3.21893,0.0,53.0,0.0,8.873814762226594,8.873814762226594,,-0.288038526501154,9.324383183911172,-0.4505684216845793,8.958511921877552,-0.0846971596509575,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 02:20:00,3.11302,0.0,53.0,0.0,8.768014915515963,8.768014915515963,,-0.3938383732117856,9.328527404362822,-0.5605124888468591,8.95521392186904,-0.1871990063530777,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 02:40:00,2.72503,0.0,53.0,0.0,8.380177188490432,8.380177188490432,,-0.7816761002373163,9.32838009168924,-0.9482029031988084,8.95159870939204,-0.5714215209016089,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 03:00:00,2.31203,0.0,53.0,0.0,7.967382372122227,7.967382372122227,,-1.1944709166055212,9.326097970983444,-1.3587155988612167,8.947651677531296,-0.9802693054090684,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 03:20:00,1.64158,0.0,53.0,0.0,7.29713731430327,7.308229587231887,,-1.8536237014958608,9.3220303495384,-2.013800762306513,8.943704645670556,-1.6354750584386686,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 03:40:00,1.65251,0.0,53.0,0.0,7.308229587231887,7.308229587231887,,-1.8536237014958608,9.318641392023704,-2.0104118047918167,8.939676320217627,-1.63144673298574,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 04:00:00,1.99525,0.0,53.0,0.0,7.65110929008699,7.65110929008699,,-1.5107439986407585,9.313716341700689,-1.6626070516136968,8.936036669805828,-1.2849273797188383,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 04:20:00,2.59731,0.0,53.0,0.0,8.253359421420065,7.65110929008699,,-1.5107439986407585,9.306323174774352,-1.6552138846873623,8.93149088265947,-1.2803815925724793,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 04:40:00,1.83931,0.0,53.0,0.0,7.495481215331558,7.720898109998624,,-1.4409551787291237,9.297280339672202,-1.5763822296735777,8.927249690808795,-1.2063515808101704,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 05:00:00,2.06461,0.0,53.0,0.0,7.720898109998624,7.720898109998624,,-1.4409551787291237,9.288237504570056,-1.5673393945714311,8.923008498958117,-1.2021103889594924,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 05:20:00,2.41285,0.0,53.0,0.0,8.069276084273415,8.069276084273415,,-1.092577204454333,9.280632001392362,-1.2113559171189472,8.918026607804471,-0.8487505235310557,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 05:40:00,2.67547,0.0,53.0,0.0,8.332014326853603,8.128361805770437,,-1.0334914829573112,9.273668161071354,-1.1453063553009173,8.912658000959793,-0.7842961951893557,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 06:00:00,2.47168,0.0,53.0,0.0,8.128361805770437,8.128361805770437,,-1.0334914829573112,9.26726613711424,-1.138904331343804,8.906878732417544,-0.7785169266471073,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 06:20:00,2.30474,0.0,53.0,0.0,7.961556356461024,7.961556356461024,,-1.200296932266724,9.26054104295711,-1.2989846864960857,8.900530820557016,-0.9389744640959918,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 06:40:00,2.01995,0.0,53.0,0.0,7.676911999639378,7.676911999639378,,-1.4849412890883702,9.254857097914392,-1.5779450982750145,8.893799382475256,-1.2168873828358784,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 07:00:00,1.91725,0.0,53.0,0.0,7.574290721891473,7.574290721891473,,-1.587562566836275,9.248817086791496,-1.6745263649000242,8.887067944393495,-1.3127772225020218,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 07:20:00,1.8432,0.0,53.0,0.0,7.500291322586061,7.574290721891473,,-1.587562566836275,9.240737112187826,-1.666446390296353,8.88061363818094,-1.3063229162894665,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 07:40:00,2.28935,0.0,53.0,0.0,7.946529677471592,7.500291322586061,,-1.6615619661416874,9.232970424116266,-1.7326791015302048,8.874063911409365,-1.3737725888233046,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 08:00:00,1.76902,0.0,53.0,0.0,7.426219430568629,7.873017328764875,,-1.2888359599628734,9.226425325486534,-1.3534079967216597,8.867635913503568,-0.994618584738693,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 08:20:00,2.21575,0.0,53.0,0.0,7.873017328764875,7.873017328764875,,-1.2888359599628734,9.222811953719605,-1.349794624954728,8.861140158094424,-0.9881228293295488,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 08:40:00,2.76624,0.0,53.0,0.0,8.4235537554016,8.4235537554016,,-0.7382995333261491,9.220641804990777,-0.7970880495891759,8.855172014163925,-0.4316182587623256,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 09:00:00,2.89669,0.0,53.0,0.0,8.554011730460338,8.4235537554016,,-0.7382995333261491,9.218329911930232,-0.7947761565286342,8.848763075388613,-0.4252093199870135,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 09:20:00,2.7269,0.0,53.0,0.0,8.384246908989516,8.554011730460338,,-0.6078415582674097,9.21356782841025,-0.6595560979499115,8.84233570970763,-0.2883239792472913,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
2024-11-20 09:40:00,3.17882,0.0,53.0,0.0,8.83617111881348,8.83617111881348,,-0.325682169914268,9.208496790694957,-0.3723256718814767,8.835802302722376,0.0003688160911039,-0.5364582752025235,rainy_transition_2,post-flush,ON,2024-11-20
