DateTime,Diameter (cm),missing,gap_block,large_gap,Growth_cumulative,smoothed_signal,daily_mean,detrended_daily_mean,short_trend,detrended_short,long_trend,detrended_long,short_trend_dday_diff,period,phenology,season,date
2024-10-08 19:00:00,89.76475,0.0,61.0,0.0,1.2647499999999994,1.2647549999999987,,-0.0017072916666679,1.2623169351851848,0.0024380648148139,1.2566511180555555,0.0081038819444433,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 19:20:00,89.76463,0.0,61.0,0.0,1.2646300000000026,1.2646350000000026,,-0.001827291666664,1.2622940069444442,0.0023409930555584,1.256683196296296,0.0079518037037065,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 19:40:00,89.76451999999999,0.0,61.0,0.0,1.2645199999999988,1.264524999999999,,-0.0019372916666677,1.262270648148148,0.0022543518518511,1.2567152499999996,0.0078097499999991,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 20:00:00,89.76439,0.0,61.0,0.0,1.2643899999999977,1.264399999999997,,-0.0020622916666697,1.262246921296296,0.0021530787037008,1.2567472412037035,0.0076527587962933,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 20:20:00,89.76425,0.0,61.0,0.0,1.264250000000004,1.2642550000000043,,-0.0022072916666624,1.2622225069444442,0.00203249305556,1.2567792032407406,0.0074757967592637,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 20:40:00,89.76413,0.0,61.0,0.0,1.2641300000000002,1.2641350000000002,,-0.0023272916666664,1.2621971828703702,0.00193781712963,1.2568111449074073,0.007323855092593,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 21:00:00,89.76401,0.0,61.0,0.0,1.2640099999999976,1.2640199999999973,,-0.0024422916666696,1.262170858796296,0.001849141203701,1.2568430949074072,0.0071769050925898,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 21:20:00,89.76386,0.0,61.0,0.0,1.2638600000000055,1.2638650000000058,,-0.0025972916666612,1.2621431388888886,0.0017218611111167,1.25687512037037,0.0069898796296352,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 21:40:00,89.7637,0.0,61.0,0.0,1.2637,1.2637100000000003,,-0.0027522916666663,1.2621137245370369,0.0015962754629634,1.256907157407407,0.0068028425925931,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
2024-10-08 22:00:00,89.76356999999999,0.0,61.0,0.0,1.2635699999999956,1.263574999999996,,-0.0028872916666708,1.2620824120370369,0.0014925879629589,1.2569391949074071,0.0066358050925885,0.0039247608506942,rainy_transition_2,pre-flush,ON,2024-10-08
