,steady,pre-flush,flush,post-flush
steady,1.0,<0.001,0.0685,<0.001
pre-flush,<0.001,1.0,<0.001,<0.001
flush,0.0685,<0.001,1.0,0.1154
post-flush,<0.001,<0.001,0.1154,1.0
