,inter_bloom,major_bloom,minor_bloom,post-bloom,pre-bloom,unknown
inter_bloom,1.0,<0.001,<0.001,<0.001,<0.001,<0.001
major_bloom,<0.001,1.0,<0.001,<0.001,1.0,<0.001
minor_bloom,<0.001,<0.001,1.0,0.1924,<0.001,<0.001
post-bloom,<0.001,<0.001,0.1924,1.0,<0.001,<0.001
pre-bloom,<0.001,1.0,<0.001,<0.001,1.0,<0.001
unknown,<0.001,<0.001,<0.001,<0.001,<0.001,1.0
