DateTime,%leafs,%flowers,%fruits,Days_since_start,Period,Day_of_Period,%leaves_roll2D,%flowers_roll2D,%fruits_roll2D
2023-08-14 10:00:00,,,,67.0,0,67.0,,,
2023-08-15 10:00:00,,,,68.0,0,68.0,,,
2023-08-16 10:00:00,,,,69.0,0,69.0,,,
2023-08-17 10:00:00,,,,70.0,0,70.0,,,
2023-08-18 10:00:00,,,,71.0,0,71.0,,,
2023-08-19 10:00:00,,,,72.0,0,72.0,,,
2023-08-20 10:00:00,,,,73.0,0,73.0,,,
2023-08-21 10:00:00,,,,74.0,0,74.0,,,
2023-08-22 10:00:00,,,,75.0,0,75.0,,,
2023-08-23 10:00:00,,,,76.0,0,76.0,,,
2023-08-24 10:00:00,,,,77.0,0,77.0,,,
2023-08-25 10:00:00,,,,78.0,0,78.0,,,
2023-08-26 10:00:00,,,,79.0,0,79.0,,,
2023-08-27 10:00:00,,,,80.0,0,80.0,,,
2023-08-28 10:00:00,,,,81.0,0,81.0,,,
2023-08-29 10:00:00,,,,82.0,0,82.0,,,
2023-08-30 10:00:00,,,,83.0,0,83.0,,,
2023-08-31 10:00:00,,,,84.0,0,84.0,,,
2023-09-01 10:00:00,,,,85.0,0,85.0,,,
2023-09-02 10:00:00,,,,86.0,0,86.0,,,
2023-09-03 10:00:00,,,,87.0,0,87.0,,,
2023-09-04 10:00:00,,,,88.0,0,88.0,,,
2023-09-05 10:00:00,,,,89.0,0,89.0,,,
2023-09-06 10:00:00,,,,90.0,0,90.0,,,
2023-09-07 10:00:00,,,,91.0,0,91.0,,,
2023-09-08 10:00:00,,,,92.0,0,92.0,,,
2023-09-09 10:00:00,,,,93.0,0,93.0,,,
2023-09-10 10:00:00,,,,94.0,0,94.0,,,
2023-09-11 10:00:00,,,,95.0,0,95.0,,,
2023-09-12 10:00:00,,,,96.0,0,96.0,,,
2023-09-13 10:00:00,,,,97.0,0,97.0,,,
2023-09-14 10:00:00,,,,98.0,0,98.0,,,
2023-09-15 10:00:00,,,,99.0,0,99.0,,,
2023-09-16 10:00:00,,,,100.0,0,100.0,,,
2023-09-17 10:00:00,,,,101.0,0,101.0,,,
2023-09-18 10:00:00,,,,102.0,0,102.0,,,
2023-09-19 10:00:00,,,,103.0,0,103.0,,,
2023-09-20 10:00:00,,,,104.0,0,104.0,,,
2023-09-21 10:00:00,,,,105.0,0,105.0,,,
2023-09-22 10:00:00,,,,106.0,0,106.0,,,
2023-09-23 10:00:00,,,,107.0,0,107.0,,,
2023-09-24 10:00:00,,,,108.0,0,108.0,,,
2023-09-25 10:00:00,,,,109.0,0,109.0,,,
2023-09-26 10:00:00,,,,110.0,0,110.0,,,
2023-09-27 10:00:00,,,,111.0,0,111.0,,,
2023-09-28 10:00:00,,,,112.0,0,112.0,,,
2023-09-29 10:00:00,,,,113.0,0,113.0,,,
2023-09-30 10:00:00,,,,114.0,0,114.0,,,
2023-10-01 10:00:00,,,,115.0,0,115.0,,,
2023-10-02 10:00:00,,,,116.0,0,116.0,,,
2023-10-03 10:00:00,,,,117.0,0,117.0,,,
2023-10-04 10:00:00,,,,118.0,0,118.0,,,
2023-10-05 10:00:00,,,,119.0,0,119.0,,,
2023-10-06 10:00:00,,,,120.0,0,120.0,,,
2023-10-07 10:00:00,,,,121.0,0,121.0,,,
2023-10-08 10:00:00,,,,122.0,0,122.0,,,
2023-10-09 10:00:00,,,,123.0,0,123.0,,,
2023-10-10 10:00:00,,,,124.0,0,124.0,,,
2023-10-11 10:00:00,,,,125.0,0,125.0,,,
2023-10-12 10:00:00,,,,126.0,0,126.0,,,
2023-10-13 10:00:00,,,,127.0,0,127.0,,,
2023-10-14 10:00:00,,,,128.0,0,128.0,,,
2023-10-15 10:00:00,,,,129.0,0,129.0,,,
2023-10-16 10:00:00,,,,130.0,0,130.0,,,
2023-10-17 10:00:00,,,,131.0,0,131.0,,,
2023-10-18 10:00:00,,,,132.0,0,132.0,,,
2023-10-19 10:00:00,,,,133.0,0,133.0,,,
2023-10-20 10:00:00,,,,134.0,0,134.0,,,
