,steady,pre-flush,flush,post-flush
steady,1.0,<0.001,0.0331,<0.001
pre-flush,<0.001,1.0,1.0,<0.001
flush,0.0331,1.0,1.0,<0.001
post-flush,<0.001,<0.001,<0.001,1.0
