,inter_bloom,major_bloom,minor_bloom,post-bloom,pre-bloom,unknown
inter_bloom,1.0,1.0,0.1084,<0.001,<0.001,<0.001
major_bloom,1.0,1.0,1.0,1.0,1.0,0.6929
minor_bloom,0.1084,1.0,1.0,1.0,1.0,1.0
post-bloom,<0.001,1.0,1.0,1.0,1.0,1.0
pre-bloom,<0.001,1.0,1.0,1.0,1.0,1.0
unknown,<0.001,0.6929,1.0,1.0,1.0,1.0
