,pre-bloom,major_bloom,inter_bloom,minor_bloom,post-bloom
pre-bloom,1.0,1.0,1.0,1.0,1.0
major_bloom,1.0,1.0,1.0,1.0,1.0
inter_bloom,1.0,1.0,1.0,1.0,1.0
minor_bloom,1.0,1.0,1.0,1.0,1.0
post-bloom,1.0,1.0,1.0,1.0,1.0
